DOI	Plant.sp	Assoc.sp	Pair	Intxn.type	Assoc.type	Pop1	Pop2	Plant.Fst	Assoc.Fst	Geog.dist.km	pfst.x	afst.x	geo.x	Entry.by
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	FreemontPk	0.07214	0.089431	122.52728	0.0777487983100899	0.0982144131856015	2.08823279265544	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	KramerHills	0.045702	0.000556	148.468051	0.0478907008083429	0.000556309307975234	2.17163300740937	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	FreemontPk	KramerHills	0.063387	0.10082	74.2196274	0.067676831305993	0.112124379990658	1.87051876975771	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	Trona	0.035452	0.03695	198.030595	0.0367550396662478	0.0383676859976118	2.29673229234843	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	FreemontPk	Trona	0.082011	0.132557	138.285367	0.0893376718021676	0.152813498984948	2.1407762266214	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	KramerHills	Trona	0.052108	0.018031	64.4217686	0.0549725074164567	0.0183620867868538	1.80903264353051	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	EurekaValley	0.076614	0.010893	391.081017	0.0829707186377095	0.0110129642192402	2.59226673589017	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	FreemontPk	EurekaValley	0.121226	0.099229	351.218094	0.137949006229133	0.110160073981067	2.54557688172705	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	KramerHills	EurekaValley	0.064396	0.064341	277.350719	0.0688282649497009	0.0687654369807804	2.44302929607506	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	Trona	EurekaValley	0.091743	0.061379	212.977461	0.101009956433036	0.0653927410530981	2.32833364531075	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	GoldPoint	0.073223	0.04685	374.957194	0.0790082188056026	0.0491528091066464	2.57398169047248	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	FreemontPk	GoldPoint	0.115563	0.129167	347.777038	0.130662783216894	0.148325798402219	2.54130090429379	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	KramerHills	GoldPoint	0.058502	0.065774	273.597722	0.0621371473970205	0.0704048056894156	2.43711247708701	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	Trona	GoldPoint	0.069991	0.104936	210.545918	0.0752584114777384	0.117238543835972	2.32334682586904	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	EurekaValley	GoldPoint	0.033255	0.019471	40.582759	0.0343989366378931	0.0198576482694545	1.60834156900941	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	JoshuaTree	ClaytonValley	0.070014	0.067726	409.061457	0.0752850042903872	0.072646024666568	2.61178856089463	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	FreemontPk	ClaytonValley	0.122419	0.156627	373.269811	0.139495955359106	0.185714980204488	2.5720228668449	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	KramerHills	ClaytonValley	0.092084	0.06197	299.210638	0.101423479705171	0.0660639851603893	2.47597703017694	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	Trona	ClaytonValley	0.084305	0.055652	234.991291	0.092066681591578	0.0589316650217928	2.3710517672048	jby
10.1111/jeb.12134	Yucca brevifolia	Tegeticula synthetica	Yucca brevifolia/Tegeticula synthetica	Mutualism	Insect	EurekaValley	ClaytonValley	0.06733	0.046774	24.2241869	0.0721905925997405	0.0490691609335037	1.38424920860125	jby
