From	To	Fst.assoc	Fst.plant	Gdist
TikabooValley	TikabooValley	0	0	0
TikabooValley	DelamarVal	0.016906	0.093652	61.1453923519017
DelamarVal	DelamarVal	0	0	0
TikabooValley	EightmileVal	0.003319	0.045057	43.7181309465526
DelamarVal	EightmileVal	0.008557	0.021639	25.3359743790072
EightmileVal	EightmileVal	0	0	0
TikabooValley	SheepRange	0.015345	0.051078	44.1184522740728
DelamarVal	SheepRange	0.05581	0.111821	50.5707982559946
EightmileVal	SheepRange	-0.004042	0.068272	25.7423900878376
SheepRange	SheepRange	0	0	0
TikabooValley	SheepPass	0.029363	0.064193	74.9182079777731
DelamarVal	SheepPass	0.076507	0.124166	88.5074292578565
EightmileVal	SheepPass	0.039972	0.072028	65.1630604051706
SheepRange	SheepPass	0.002613	0.052526	40.1539746199463
SheepPass	SheepPass	0	0	0
TikabooValley	Shivwitts	0.023596	0.082756	149.939551391167
DelamarVal	Shivwitts	0.016291	0.121605	96.2153066541681
EightmileVal	Shivwitts	0.007383	0.083947	106.252721883493
SheepRange	Shivwitts	0.021125	0.12194	115.063807633955
SheepPass	Shivwitts	0.050125	0.093576	127.430266127414
Shivwitts	Shivwitts	0	0	0
TikabooValley	YuccaForest	0.034404	0.047623	118.613762213398
DelamarVal	YuccaForest	0.009272	0.090222	118.501544275474
EightmileVal	YuccaForest	0.024161	0.059659	99.7646418877236
SheepRange	YuccaForest	0.033153	0.045961	78.7725580131125
SheepPass	YuccaForest	0.080146	0.045941	44.6246230312147
Shivwitts	YuccaForest	0.040688	0.066302	122.335706232173
YuccaForest	YuccaForest	0	0	0
TikabooValley	IndianRidge	-0.007342	0.037577	110.412406742233
DelamarVal	IndianRidge	0.033674	0.06742	137.964641260899
EightmileVal	IndianRidge	0.011725	0.02202	113.547010044052
SheepRange	IndianRidge	0.010249	0.044255	87.8089824400821
SheepPass	IndianRidge	0.035239	0.033095	50.5549338198081
Shivwitts	IndianRidge	0.023247	0.064535	171.696610234059
YuccaForest	IndianRidge	0.052971	0.029142	56.620269476498
IndianRidge	IndianRidge	0	0	0
TikabooValley	KingstonMtns	0.004622	0.063218	193.180366572277
DelamarVal	KingstonMtns	0.009149	0.131613	216.041094177851
EightmileVal	KingstonMtns	0.015304	0.085325	192.999855993888
SheepRange	KingstonMtns	0.024797	0.101701	167.701380187023
SheepPass	KingstonMtns	0.04763	0.090433	127.845845697881
Shivwitts	KingstonMtns	0.012345	0.096501	226.213888576346
YuccaForest	KingstonMtns	0.02354	0.055002	105.960157311561
IndianRidge	KingstonMtns	-0.003221	0.071215	82.7763115857369
KingstonMtns	KingstonMtns	0	0	0
TikabooValley	Cima	0.053476	0.05188	235.878019479644
DelamarVal	Cima	0.01242	0.098437	250.33765896213
EightmileVal	Cima	0.031932	0.051758	229.309503205111
SheepRange	Cima	0.047907	0.072029	205.217195789966
SheepPass	Cima	0.068108	0.055676	165.204808243055
Shivwitts	Cima	0.029055	0.077404	242.695034016056
YuccaForest	Cima	0.035295	0.028914	132.963990252717
IndianRidge	Cima	0.047025	0.031291	126.891105217747
KingstonMtns	Cima	0.000646	0.04818	50.4121736572121
Cima	Cima	0	0	0
TikabooValley	Searchlight	0.010612	0.059149	220.797143966591
DelamarVal	Searchlight	0.006949	0.106074	225.064064256156
EightmileVal	Searchlight	0.011449	0.06688	206.618640719447
SheepRange	Searchlight	0.016129	0.045042	184.64073991608
SheepPass	Searchlight	0.041219	0.056157	146.426632936105
Shivwitts	Searchlight	-0.004107	0.078366	204.89502540976
YuccaForest	Searchlight	0.02614	0.016799	106.908657973025
IndianRidge	Searchlight	-0.007634	0.032285	119.843887874372
KingstonMtns	Searchlight	0.004765	0.058394	69.1229859107694
Cima	Searchlight	0.011923	0.016424	44.2172809213925
Searchlight	Searchlight	0	0	0
TikabooValley	DolanSprings	0.025818	0.060181	237.439031367015
DelamarVal	DolanSprings	0.005495	0.102609	220.168695057393
EightmileVal	DolanSprings	0.026667	0.0701	209.367084173406
SheepRange	DolanSprings	0.046889	0.071987	194.461705075884
SheepPass	DolanSprings	-0.03484	0.068838	165.784197469415
Shivwitts	DolanSprings	0.048183	0.067212	166.373768446418
YuccaForest	DolanSprings	0.079618	0.02429	121.454179931268
IndianRidge	DolanSprings	0.058491	0.042144	163.254677569456
KingstonMtns	DolanSprings	0.039208	0.069706	144.228377796229
Cima	DolanSprings	0.039852	0.038134	123.24226411311
Searchlight	DolanSprings	0.040394	0.027635	80.2136480384962
DolanSprings	DolanSprings	0	0	0
TikabooValley	Wikieup	0.032305	0.074944	351.951994929982
DelamarVal	Wikieup	0.030027	0.116326	332.401927950146
EightmileVal	Wikieup	0.02943	0.078832	323.163270081176
SheepRange	Wikieup	0.043281	0.105453	308.933698393048
SheepPass	Wikieup	0.053488	0.067407	279.804572401529
Shivwitts	Wikieup	0.005722	0.117164	265.982600142812
YuccaForest	Wikieup	0.076273	0.056328	235.243216374769
IndianRidge	Wikieup	0.024637	0.06785	271.594135291538
KingstonMtns	Wikieup	0.028073	0.090052	229.876730627601
Cima	Wikieup	0.029939	0.054424	188.903607057128
Searchlight	Wikieup	0.010085	0.064266	161.684811583475
DolanSprings	Wikieup	0.062861	0.067207	114.517524874884
Wikieup	Wikieup	0	0	0
TikabooValley	AlamoLake	0.085828	0.081451	412.067248405877
DelamarVal	AlamoLake	0.044584	0.118623	391.764038517077
EightmileVal	AlamoLake	0.072758	0.079198	383.024735071205
SheepRange	AlamoLake	0.100645	0.124253	369.023043196837
SheepPass	AlamoLake	0.081465	0.076146	339.825229269993
Shivwitts	AlamoLake	0.064811	0.118836	322.069514107684
YuccaForest	AlamoLake	0.069667	0.08723	295.237457777545
IndianRidge	AlamoLake	0.076667	0.070545	330.258379720925
KingstonMtns	AlamoLake	0.067074	0.086483	283.369999459079
Cima	AlamoLake	0.053219	0.07338	238.91458696411
Searchlight	AlamoLake	0.070399	0.092788	216.962199525944
DolanSprings	AlamoLake	0.046809	0.10127	174.63103915635
Wikieup	AlamoLake	0.064223	0.082171	60.1154110681021
AlamoLake	AlamoLake	0	0	0
