From	To	Gst.plant	Gst.insect	geo
BEC	DAD	0.301585145225268	0.340008640642788	3272.45398134526
BEC	DES	0.32815155161466	0.270019666991137	2264.94061600055
DAD	DES	0.356806382250924	0.39129857692798	1025.43696836573
BEC	DOM	0.278795952701532	0.375073732903206	2346.34450188182
DAD	DOM	0.198706524379929	0.483620401256813	1253.42152953654
DES	DOM	0.275628201739104	0.370325857130727	553.800837242524
BEC	DZE	0.306137328309183	0.293817560619369	2848.8163387623
DAD	DZE	0.231602365659973	0.311950447853495	1800.26491694066
DES	DZE	0.260428053707306	0.259675829902115	1424.19744575587
DOM	DZE	0.163090603850337	0.370806655490014	877.917394988207
BEC	FEL	0.296286493295311	0.216390159721806	2443.2396317281
DAD	FEL	0.273212664067947	0.291466208453731	987.978547624105
DES	FEL	0.296848334125666	0.209082523925992	336.706446682925
DOM	FEL	0.189788581500522	0.321264913845832	294.786493849486
DZE	FEL	0.179404154805551	0.210713220967507	1111.88867545641
BEC	KHA	0.348366676843682	0.368671260623173	4073.8818362897
DAD	KHA	0.271608968728599	0.432525580157538	836.54363843272
DES	KHA	0.389517562117679	0.402975846696246	1808.96079746556
DOM	KHA	0.214537781049153	0.545529735735527	1875.58464680911
DZE	KHA	0.310855815982824	0.378211961246575	2108.6609754588
FEL	KHA	0.331416213323833	0.357941290965659	1675.41970922014
BEC	LAU	0.289574887278205	0.28031378965104	2756.62874407236
DAD	LAU	0.217425831389088	0.327492345351338	1912.82509671426
DES	LAU	0.269343402826271	0.301866696292988	1464.51289467924
DOM	LAU	0.0893409327625668	0.347436300542516	911.111889805924
DZE	LAU	0.137083826695353	0.234427910714142	148.088819651106
FEL	LAU	0.169655918810774	0.206316815710195	1167.8946058335
KHA	LAU	0.248459440905131	0.37215910207313	2249.47720843531
BEC	LOZ	0.347919554974662	0.23833442721856	158.994368213289
DAD	LOZ	0.332373372331391	0.356228466982952	3114.33338101317
DES	LOZ	0.419240633935675	0.30472356275389	2106.02412455585
DOM	LOZ	0.353301288509189	0.368392459421279	2191.19556844984
DZE	LOZ	0.340283695492943	0.294092273516443	2710.304377593
FEL	LOZ	0.382382952627035	0.23006017057969	2284.99443843302
KHA	LOZ	0.383425396405949	0.378774201513707	3914.9776308704
LAU	LOZ	0.357440844749372	0.302582822984346	2621.70630196433
BEC	PIE	0.251720405793465	0.23561641584063	192.020907512128
DAD	PIE	0.372405872596457	0.336996467765191	3200.20296386125
DES	PIE	0.316079373482502	0.285767940996028	2208.32019122199
DOM	PIE	0.328446230141993	0.358928889174784	2335.60968423759
DZE	PIE	0.330448261510223	0.255921281695053	2891.20626547759
FEL	PIE	0.336571129785824	0.213136159293138	2409.39516001823
KHA	PIE	0.407648774560468	0.366872449659769	4013.12638488689
LAU	PIE	0.337845451727896	0.272038156558394	2807.12582189677
LOZ	PIE	0.394954843765431	0.241363235296667	208.863280082846
BEC	SAN	0.205168099744527	0.260482927908156	211.895543650387
DAD	SAN	0.320352695457426	0.356906831883736	3316.72065662452
DES	SAN	0.316602663563275	0.282027049411105	2297.34831982282
DOM	SAN	0.255996756402343	0.363468847186759	2327.10448619754
DZE	SAN	0.2852603850128	0.285883390824581	2768.52292927276
FEL	SAN	0.284602430681007	0.243063344999629	2448.82204047768
KHA	SAN	0.327115714948584	0.383367058893016	4102.281309541
LAU	SAN	0.29111037679524	0.309136934403002	2668.16227414324
LOZ	SAN	0.276549088981996	0.289535045662777	274.775093397325
PIE	SAN	0.166877756260666	0.250898848205325	401.278167826988
BEC	SUC	0.2615869105372	0.288889516733453	2021.9711815292
DAD	SUC	0.215261288807806	0.350764794062727	1582.35762516434
DES	SUC	0.251283201982721	0.331058307171528	706.657375522362
DOM	SUC	0.173737508974877	0.417582312947359	360.598086566114
DZE	SUC	0.148679308572722	0.292548169213967	965.802228658859
FEL	SUC	0.200079734837843	0.259748442871391	594.510065326866
KHA	SUC	0.288899983358036	0.404554116043435	2234.4551333578
LAU	SUC	0.182713597732497	0.284109817941242	941.813496816767
LOZ	SUC	0.332469686362806	0.30151213999261	1870.00036444612
PIE	SUC	0.288515749317266	0.261419661246992	2026.69919832153
SAN	SUC	0.225705376471448	0.289604665774413	1988.74292565798
BEC	TRO	0.348388878339549	0.329798840739134	1790.7301048364
DAD	TRO	0.269926064056148	0.392600640729891	2053.06143602921
DES	TRO	0.280187209342302	0.376007828477396	1154.47346503461
DOM	TRO	0.217186037589015	0.435040115969624	810.546628552422
DZE	TRO	0.206579035120413	0.331554455620632	1058.19369154601
FEL	TRO	0.205713026371825	0.275083783488984	1066.06268603921
KHA	TRO	0.372315991315564	0.455234688631224	2678.75523036679
LAU	TRO	0.208968407044161	0.29813110627299	969.055584648372
LOZ	TRO	0.415061719280715	0.28466618734071	1653.49643005393
PIE	TRO	0.362975143466865	0.271416759595431	1838.07678320155
SAN	TRO	0.333838600916306	0.308701422610155	1713.40633119898
SUC	TRO	0.235333635082281	0.308981969613108	472.373144009257
